As White

Vienna Gambit | takes 1 | e4 e5 Nc3 Nf6 f4 exf4 e5 Ng8 Nf3 d6 d4 dxe5 Bb5+ c6 Bc4 exd4 Bxf4 Qe7+ Ne5
Vienna Gambit | takes 2 | e4 e5 Nc3 Nf6 f4 exf4 e5 Ng8 Nf3 d6 d4 dxe5 Bb5+ c6 Bc4 exd4 Bxf4 dxc3 Bxf7+
Vienna Gambit | Correct reply | e4 e5 Nc3 Nf6 f4 d5 fxe5 Nxe4 Qf3
Vienna Gambit | Main line 1 | e4 e5 Nc3 Nc6 f4 exf4 Nf3 Nf6 Bc4
Vienna Gambit | Main line 2 | e4 e5 Nc3 Nc6 f4 exf4 Nf3 g5 g3 g4 Nh4
Vienna Gambit | Main line 3 | e4 e5 Nc3 Nc6 f4 exf4 Nf3 g5 g3 fxg3 hxg3
Caro Kann | Long line | e4 c6 d4 d5 Bd3 dxe4 Bxe4 Nf6 Nc3 Nxe4 Nxe4 Bf5 Ng3 Bg6 Nf3 e6 h4 h6 Ne5 Bh7 Qh5
Grand Prix | Example attack | e4 c5 Nc3 d6 f4 Nc6 Nf3 g6 Bb5 Bd7 O-O a6 Bxc6 Bxc6 d3 Bg7 Qe1 Nf6 Qh4 O-O f5
Grand Prix | Weak c pawns | e4 c5 Nc3 Nc6 f4 e6 Nf3 d5 Bb5 a6 Bxc6+ bxc6 d3 Nf6 O-O d4 Na4 Be7 b3 O-O Ne5 Qc7 Ba3
Grand Prix | f4 vs g6 | e4 c5 Nc3 Nc6 f4 g6 Nf3 Bg7 a4
Horwitz |  | e4 e6 b3 d5 Bb2 Nf6 e5 Nfd7 f4
Horwitz |  | e4 e6 b3 d5 Bb2 dxe4 Nc3 Nf6 Qe2 Be7 Nxe4 O-O O-O-O
Horwitz |  | e4 e6 b3 d5 Bb2 dxe4 Nc3 Nf6 Qe2 Bb4 O-O-O Bxc3 dxc3 Qe7 g4 h6 h3
Horwitz |  | e4 e6 b3 d5 Bb2 dxe4 Nc3 f5 Nxe4 fxe4 Qh5 g6 Qe5
Horwitz |  | e4 e6 b3 d5 Bb2 dxe4 Nc3 f5 Nxe4 fxe4 Qh5 Kd7 O-O-O
Caro Kann |  | e4 c6 d4 d5 Bd3 Nf6 e5 Nfd7 e6 fxe6 Qh5

As Black

Caro Kann | Advance | e4 c6 d4 d5 e5 Bf5 Nf3 e6
Caro Kann | panov fianchetto | e4 c6 d4 d5 exd5 cxd5 c4 Nf6 Nc3 g6 cxd5 Bg7
Caro Kann | Nc3 | e4 c6 d4 d5 Nc3 dxe4 Nxe4 Nf6 Nxf6 exf6
KID |  | d4 Nf6 c4 g6 Nc3 Bg7 e4 d6 Nf3 Bg4 Be2 O-O Be3 Nd7 O-O e5
